ID	LG	LG Thickness	Spot size	Spot resolution	Sampling	ETA	Source Type	Source U	Source I	Source Filter Material	Source Filter Thickness	N	Detector pixel size	Cone beam angle	Other parameters	Filename	Remarks
1	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.05		NxS_UB_ConeBeamAngle.tif	
2	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.1		NxS_UB_ConeBeamAngle.tif	
3	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.2		NxS_UB_ConeBeamAngle.tif	
4	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.3		NxS_UB_ConeBeamAngle.tif	
5	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.4		NxS_UB_ConeBeamAngle.tif	
6	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.5		NxS_UB_ConeBeamAngle.tif	
7	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.6		NxS_UB_ConeBeamAngle.tif	
8	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.7		NxS_UB_ConeBeamAngle.tif	
9	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.8		NxS_UB_ConeBeamAngle.tif	
10	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.9		NxS_UB_ConeBeamAngle.tif	
11	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1		NxS_UB_ConeBeamAngle.tif	
12	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.2		NxS_UB_ConeBeamAngle.tif	
13	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.4		NxS_UB_ConeBeamAngle.tif	
14	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.6		NxS_UB_ConeBeamAngle.tif	
15	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.8		NxS_UB_ConeBeamAngle.tif	
16	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2		NxS_UB_ConeBeamAngle.tif	
17	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.2		NxS_UB_ConeBeamAngle.tif	
18	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.4		NxS_UB_ConeBeamAngle.tif	
19	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.6		NxS_UB_ConeBeamAngle.tif	
20	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.8		NxS_UB_ConeBeamAngle.tif	
21	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3		NxS_UB_ConeBeamAngle.tif	
22	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.2		NxS_UB_ConeBeamAngle.tif	
23	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.4		NxS_UB_ConeBeamAngle.tif	
24	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.6		NxS_UB_ConeBeamAngle.tif	
25	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.8		NxS_UB_ConeBeamAngle.tif	
26	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4		NxS_UB_ConeBeamAngle.tif	
27	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.2		NxS_UB_ConeBeamAngle.tif	
28	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.4		NxS_UB_ConeBeamAngle.tif	
29	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.6		NxS_UB_ConeBeamAngle.tif	
30	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.8		NxS_UB_ConeBeamAngle.tif	
31	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5		NxS_UB_ConeBeamAngle.tif	
32	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.2		NxS_UB_ConeBeamAngle.tif	
33	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.4		NxS_UB_ConeBeamAngle.tif	
34	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.6		NxS_UB_ConeBeamAngle.tif	
35	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.8		NxS_UB_ConeBeamAngle.tif	
36	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6		NxS_UB_ConeBeamAngle.tif	
37	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.2		NxS_UB_ConeBeamAngle.tif	
38	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.4		NxS_UB_ConeBeamAngle.tif	
39	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.6		NxS_UB_ConeBeamAngle.tif	
40	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.8		NxS_UB_ConeBeamAngle.tif	
41	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7		NxS_UB_ConeBeamAngle.tif	
42	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.2		NxS_UB_ConeBeamAngle.tif	
43	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.4		NxS_UB_ConeBeamAngle.tif	
44	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.6		NxS_UB_ConeBeamAngle.tif	
45	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.8		NxS_UB_ConeBeamAngle.tif	
46	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8		NxS_UB_ConeBeamAngle.tif	
47	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.2		NxS_UB_ConeBeamAngle.tif	
48	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.4		NxS_UB_ConeBeamAngle.tif	
49	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.6		NxS_UB_ConeBeamAngle.tif	
50	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.8		NxS_UB_ConeBeamAngle.tif	
51	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9		NxS_UB_ConeBeamAngle.tif	
52	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.2		NxS_UB_ConeBeamAngle.tif	
53	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.4		NxS_UB_ConeBeamAngle.tif	
54	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.6		NxS_UB_ConeBeamAngle.tif	
55	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.8		NxS_UB_ConeBeamAngle.tif	
56	6	2	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	10		NxS_UB_ConeBeamAngle.tif	
57	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.05		NxS_UB_ConeBeamAngle.tif	
58	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.1		NxS_UB_ConeBeamAngle.tif	
59	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.2		NxS_UB_ConeBeamAngle.tif	
60	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.3		NxS_UB_ConeBeamAngle.tif	
61	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.4		NxS_UB_ConeBeamAngle.tif	
62	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.5		NxS_UB_ConeBeamAngle.tif	
63	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.6		NxS_UB_ConeBeamAngle.tif	
64	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.7		NxS_UB_ConeBeamAngle.tif	
65	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.8		NxS_UB_ConeBeamAngle.tif	
66	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	0.9		NxS_UB_ConeBeamAngle.tif	
67	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1		NxS_UB_ConeBeamAngle.tif	
68	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.2		NxS_UB_ConeBeamAngle.tif	
69	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.4		NxS_UB_ConeBeamAngle.tif	
70	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.6		NxS_UB_ConeBeamAngle.tif	
71	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	1.8		NxS_UB_ConeBeamAngle.tif	
72	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2		NxS_UB_ConeBeamAngle.tif	
73	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.2		NxS_UB_ConeBeamAngle.tif	
74	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.4		NxS_UB_ConeBeamAngle.tif	
75	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.6		NxS_UB_ConeBeamAngle.tif	
76	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	2.8		NxS_UB_ConeBeamAngle.tif	
77	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3		NxS_UB_ConeBeamAngle.tif	
78	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.2		NxS_UB_ConeBeamAngle.tif	
79	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.4		NxS_UB_ConeBeamAngle.tif	
80	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.6		NxS_UB_ConeBeamAngle.tif	
81	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	3.8		NxS_UB_ConeBeamAngle.tif	
82	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4		NxS_UB_ConeBeamAngle.tif	
83	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.2		NxS_UB_ConeBeamAngle.tif	
84	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.4		NxS_UB_ConeBeamAngle.tif	
85	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.6		NxS_UB_ConeBeamAngle.tif	
86	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	4.8		NxS_UB_ConeBeamAngle.tif	
87	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5		NxS_UB_ConeBeamAngle.tif	
88	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.2		NxS_UB_ConeBeamAngle.tif	
89	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.4		NxS_UB_ConeBeamAngle.tif	
90	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.6		NxS_UB_ConeBeamAngle.tif	
91	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	5.8		NxS_UB_ConeBeamAngle.tif	
92	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6		NxS_UB_ConeBeamAngle.tif	
93	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.2		NxS_UB_ConeBeamAngle.tif	
94	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.4		NxS_UB_ConeBeamAngle.tif	
95	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.6		NxS_UB_ConeBeamAngle.tif	
96	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	6.8		NxS_UB_ConeBeamAngle.tif	
97	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7		NxS_UB_ConeBeamAngle.tif	
98	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.2		NxS_UB_ConeBeamAngle.tif	
99	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.4		NxS_UB_ConeBeamAngle.tif	
100	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.6		NxS_UB_ConeBeamAngle.tif	
101	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	7.8		NxS_UB_ConeBeamAngle.tif	
102	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8		NxS_UB_ConeBeamAngle.tif	
103	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.2		NxS_UB_ConeBeamAngle.tif	
104	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.4		NxS_UB_ConeBeamAngle.tif	
105	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.6		NxS_UB_ConeBeamAngle.tif	
106	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	8.8		NxS_UB_ConeBeamAngle.tif	
107	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9		NxS_UB_ConeBeamAngle.tif	
108	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.2		NxS_UB_ConeBeamAngle.tif	
109	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.4		NxS_UB_ConeBeamAngle.tif	
110	6	4	0.002	301	1089	0	Mono	50	1	VOID	0	10	0.1	9.6		NxS_UB_ConeBeamAngle.tif	
